description,spider,title,url
,,Examples,https://matplotlib.org/stable/gallery/
"Top level ,, which holds all plot elements.
Many methods are implemented in ,.,A logical figure inside a figure, usually added to a figure (or parent
,) with , or , methods
(provisional API v3.4).,Control the default spacing between subplots.,The top level container for all the plot elements.,Base class for , and , containing the methods that add
artists to the figure or subfigure, create Axes, etc.,Logical figure that can be placed inside a figure.,A class to hold the parameters for a subplot.,Calculate the width and height for a figure with a specified aspect ratio.",,,https://matplotlib.org/stable/api/figure_api.html
Plot contour lines.,,matplotlib.axes.Axes.contour,https://matplotlib.org/stable/api/_as_gen/matplotlib.axes.Axes.contour.html
,,,https://matplotlib.org/stable/api/matplotlib_configuration_api.html
A base class for Animations.,,matplotlib.animation.Animation,https://matplotlib.org/stable/api/_as_gen/matplotlib.animation.Animation.html
"Create a new figure, or activate an existing figure.",,matplotlib.pyplot.figure,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.figure.html
Create a figure and a set of subplots.,,matplotlib.pyplot.subplots,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.subplots.html
" subclass that makes an animation by repeatedly calling
a function ,.",,matplotlib.animation.FuncAnimation,https://matplotlib.org/stable/api/_as_gen/matplotlib.animation.FuncAnimation.html
,,Setting up Matplotlib for development,https://matplotlib.org/stable/devel/development_setup.html
Build a layout of Axes based on ASCII art or nested lists.,,matplotlib.pyplot.subplot_mosaic,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.subplot_mosaic.html
" subclass that creates an animation by using a fixed
set of , objects.",,matplotlib.animation.ArtistAnimation,https://matplotlib.org/stable/api/_as_gen/matplotlib.animation.ArtistAnimation.html
Remove the artist from the figure if possible.,,matplotlib.artist.Artist.remove,https://matplotlib.org/stable/api/_as_gen/matplotlib.artist.Artist.remove.html
"Return the clip path with the non-affine part of its
transformation applied, and the remaining affine part of its
transformation.",,matplotlib.artist.Artist.get_transformed_clip_path_and_affine,https://matplotlib.org/stable/api/_as_gen/matplotlib.artist.Artist.get_transformed_clip_path_and_affine.html
"Return the value of an ,'s ,, or print all of them.",,matplotlib.artist.getp,https://matplotlib.org/stable/api/_as_gen/matplotlib.artist.getp.html
"Set one or more properties on an ,, or list allowed values.",,matplotlib.artist.setp,https://matplotlib.org/stable/api/_as_gen/matplotlib.artist.setp.html
Display minor ticks on the Axes.,,matplotlib.axes.Axes.minorticks_on,https://matplotlib.org/stable/api/_as_gen/matplotlib.axes.Axes.minorticks_on.html
Remove minor ticks from the Axes.,,matplotlib.axes.Axes.minorticks_off,https://matplotlib.org/stable/api/_as_gen/matplotlib.axes.Axes.minorticks_off.html
