description,title
Returns the indices that would sort an array.,numpy.argsort
Perform an indirect stable sort using a sequence of keys.,numpy.lexsort
Find indices where elements should be inserted to maintain order.,numpy.searchsorted
Join a sequence of arrays along an existing axis.,numpy.concatenate
Create an array.,numpy.array
Return a partitioned copy of an array.,numpy.partition
Return a sorted copy of an array.,numpy.sort
Return evenly spaced values within a given interval.,numpy.arange
Convert an array of datetimes into an array of strings.,numpy.datetime_as_string
Functions that operate element by element on whole arrays.,numpy.ufunc
Cholesky decomposition.,numpy.linalg.cholesky
Return the Bartlett window.,numpy.bartlett
"Return a new matrix of given shape and type, without initializing entries.",numpy.matlib.empty
"Returns a list of files named ‘fname’ from
1) System-wide directory (directory-location of this module)
2) Users HOME directory (os.environ[‘HOME’])
3) Local directory",numpy.distutils.system_info.get_standard_file
Return evenly spaced numbers over a specified interval.,numpy.linspace
Apply a function repeatedly over multiple axes.,numpy.apply_over_axes
"Class to convert formats, names, titles description to a dtype.",numpy.format_parser
,numpy.distutils.cpuinfo.cpu
Apply a function to 1-D slices along the given axis.,numpy.apply_along_axis
Compute the (Moore-Penrose) pseudo-inverse of a matrix.,numpy.linalg.pinv
"Reduces ,’s dimension by one, by applying ufunc along one axis.",numpy.ufunc.reduce
"Solve a linear matrix equation, or system of linear scalar equations.",numpy.linalg.solve
Returns the indices of the minimum values along an axis.,numpy.argmin
Singular Value Decomposition.,numpy.linalg.svd
Tuple of bytes to step in each dimension when traversing an array.,numpy.ndarray.strides
Interpret the input as a matrix.,numpy.mat
Compute the one-dimensional discrete Fourier Transform.,numpy.fft.fft
A unique number for each of the 21 different built-in types.,numpy.dtype.num
Returns the indices of the maximum values along an axis.,numpy.argmax
Pad an array.,numpy.pad
Return the cross product of two (arrays of) vectors.,numpy.cross
Clip (limit) the values in an array.,numpy.clip
Compute the 2-dimensional inverse discrete Fourier Transform.,numpy.fft.ifft2
"Return the complex conjugate, element-wise.",numpy.conj
Return the scalar type of highest precision of the same kind as the input.,numpy.maximum_sctype
"Estimate a covariance matrix, given data and weights.",numpy.cov
Return the cumulative sum of the elements along a given axis.,numpy.cumsum
Return the cumulative product of elements along a given axis.,numpy.cumprod
"Compute bit-wise inversion, or bit-wise NOT, element-wise.",numpy.invert
"Subtract arguments, element-wise.",numpy.subtract
Return an array representing the indices of a grid.,numpy.indices
One-dimensional linear interpolation for monotonically increasing sample points.,numpy.interp
Calculate the n-th discrete difference along the given axis.,numpy.diff
Divide arguments element-wise.,numpy.divide
Element-wise maximum of array elements.,numpy.maximum
Matrix product of two arrays.,numpy.matmul
Find the product of two polynomials.,numpy.polymul
Element-wise minimum of array elements.,numpy.minimum
Compute the arithmetic mean along the specified axis.,numpy.mean
Logarithm of the sum of exponentiations of the inputs in base-2.,numpy.logaddexp2
Compute the median along the specified axis.,numpy.median
Return coordinate matrices from coordinate vectors.,numpy.meshgrid
 instance which returns an open multi-dimensional “meshgrid”.,numpy.ogrid
Compute the outer product of two vectors.,numpy.outer
Sum of array elements over a given axis.,numpy.sum
"An object to simplify the interaction of the array with the ctypes
module.",numpy.ndarray.ctypes
Return the sum along diagonals of the array.,numpy.trace
"Converts a flat index or array of flat indices into a tuple
of coordinate arrays.",numpy.unravel_index
Compute the standard deviation along the specified axis.,numpy.std
Returns the element-wise remainder of division.,numpy.remainder
Multidimensional index iterator.,numpy.ndenumerate
Stack arrays in sequence horizontally (column wise).,numpy.hstack
"Base-2 logarithm of ,.",numpy.log2
Stack 1-D arrays as columns into a 2-D array.,numpy.column_stack
Round elements of the array to the nearest integer.,numpy.rint
"Calculate , for all , in the input array.",numpy.exp2
Returns an element-wise indication of the sign of a number.,numpy.sign
